title,year,rating
Ace in the Hole,1951,4.2
Bakushû,1951,4.1
Journal d'un curé de campagne,1951,4.1
Strangers on a Train,1951,4.0
Bellissima,1951,4.0
Strangers on a Train,1951,4.0
A Place in the Sun,1951,3.9
A Streetcar Named Desire,1951,3.9
The African Queen,1951,3.8
The Day the Earth Stood Still,1951,3.8
The Day the Earth Stood Still,1951,3.8
An American in Paris,1951,3.7
The Thing from Another World,1951,3.6
When Worlds Collide,1951,3.4
Flying Leathernecks,1951,3.4
Alice in Wonderland,1951,3.3
Scrooge,1951,3.3
Ikiru,1952,4.5
Umberto D.,1952,4.3
The Quiet Man,1952,4.1
Singin' in the Rain,1952,3.9
Singin' in the Rain,1952,3.9
High Noon,1952,3.9
Le carrosse d'or,1952,3.9
Singin' in the Rain,1952,3.9
On Dangerous Ground,1952,3.8
The Bad and the Beautiful,1952,3.8
Casque d'or,1952,3.7
Lo sceicco bianco,1952,3.6
Pat and Mike,1952,3.5
Macao,1952,3.4
Ruby Gentry,1952,3.1
Tôkyô monogatari,1953,4.4
Le salaire de la peur,1953,4.4
Madame de...,1953,4.3
Ugetsu monogatari,1953,4.3
Stalag 17,1953,4.2
Roman Holiday,1953,4.1
I vitelloni,1953,4.1
Gycklarnas afton,1953,4.0
Pickup on South Street,1953,4.0
Les vacances de Monsieur Hulot,1953,4.0
From Here to Eternity,1953,3.9
The Band Wagon,1953,3.8
The Naked Spur,1953,3.8
Shane,1953,3.7
Gentlemen Prefer Blondes,1953,3.7
I Confess,1953,3.6
Kiss Me Kate,1953,3.6
I Confess,1953,3.6
Beat the Devil,1953,3.3
It Came from Outer Space,1953,3.1
Glen or Glenda,1953,2.6
Shichinin no samurai,1954,4.5
Shichinin no samurai,1954,4.5
La strada,1954,4.3
On the Waterfront,1954,4.2
Rear Window,1954,4.2
Gojira,1954,4.1
Johnny Guitar,1954,4.0
Touchez pas au grisbi,1954,4.0
Carmen Jones,1954,3.9
Dial M for Murder,1954,3.9
Sabrina,1954,3.8
The Caine Mutiny,1954,3.8
Sabrina,1954,3.8
The Barefoot Contessa,1954,3.6
River of No Return,1954,3.4
Suddenly,1954,3.3
Creature from the Black Lagoon,1954,3.3
20000 Leagues Under the Sea,1954,3.2
The Last Time I Saw Paris,1954,3.1
Pather Panchali,1955,4.5
Ordet,1955,4.4
Du rififi chez les hommes,1955,4.3
The Night of the Hunter,1955,4.2
Les diaboliques,1955,4.1
Sommarnattens leende,1955,4.0
East of Eden,1955,4.0
East of Eden,1955,4.0
Kiss Me Deadly,1955,4.0
Rebel Without a Cause,1955,3.9
Mr. Arkadin,1955,3.9
Bad Day at Black Rock,1955,3.9
Bad Day at Black Rock,1955,3.9
Lola Montès,1955,3.8
The Man with the Golden Arm,1955,3.8
Summertime,1955,3.7
The Seven Year Itch,1955,3.6
The Trouble with Harry,1955,3.6
Ikimono no kiroku,1955,3.6
The Court-Martial of Billy Mitchell,1955,3.5
Blackboard Jungle,1955,3.5
The Big Combo,1955,3.5
Picnic,1955,3.5
Lady and the Tramp,1955,3.5
Oklahoma!,1955,3.4
Killer's Kiss,1955,3.3
Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,4.3
Aparajito,1956,4.3
Le ballon rouge,1956,4.2
Bob le flambeur,1956,4.0
The Searchers,1956,4.0
The Killing,1956,4.0
Baby Doll,1956,3.9
Giant,1956,3.9
Somebody Up There Likes Me,1956,3.9
Written on the Wind,1956,3.8
Forbidden Planet,1956,3.8
High Society,1956,3.8
The King and I,1956,3.6
Invasion of the Body Snatchers,1956,3.6
Invasion of the Body Snatchers,1956,3.6
The Ten Commandments,1956,3.6
The King and I,1956,3.6
The Ten Commandments,1956,3.6
Invasion of the Body Snatchers,1956,3.6
Invasion of the Body Snatchers,1956,3.6
"Godzilla, King of the Monsters!",1956,3.6
The Wrong Man,1956,3.6
War and Peace,1956,3.5
La mort en ce jardin,1956,3.4
Et Dieu... créa la femme,1956,3.0
Et Dieu... créa la femme,1956,3.0
Le notti di Cabiria,1957,4.4
Smultronstället,1957,4.4
Det sjunde inseglet,1957,4.3
Kumonosu-jô,1957,4.3
A Face in the Crowd,1957,4.2
Letyat zhuravli,1957,4.2
12 Angry Men,1957,4.1
12 Angry Men,1957,4.1
Sweet Smell of Success,1957,4.1
An Affair to Remember,1957,4.0
Desk Set,1957,3.9
Donzoko,1957,3.9
The Bridge on the River Kwai,1957,3.9
Love in the Afternoon,1957,3.8
The Incredible Shrinking Man,1957,3.7
The Three Faces of Eve,1957,3.7
Funny Face,1957,3.7
Old Yeller,1957,3.3
The Pride and the Passion,1957,3.0
Battle Hymn,1957,2.9
Jalsaghar,1958,4.4
Ascenseur pour l'échafaud,1958,4.2
Mon oncle,1958,4.2
Vertigo,1958,4.1
Kakushi-toride no san-akunin,1958,4.1
Kakushi-toride no san-akunin,1958,4.1
Cat on a Hot Tin Roof,1958,3.9
Ansiktet,1958,3.9
"The Long, Hot Summer",1958,3.8
The Defiant Ones,1958,3.7
Gigi,1958,3.7
The Black Orchid,1958,3.6
Dracula,1958,3.6
Bonjour tristesse,1958,3.6
The 7th Voyage of Sinbad,1958,3.5
The Left Handed Gun,1958,3.4
High School Confidential!,1958,3.3
Plan 9 from Outer Space,1958,2.8
Ivan Groznyy: Skaz vmroy - Boyarskyy zagovor,1958,2.4
Ningen no jôken,1959,4.4
Apur Sansar,1959,4.4
Les quatre cents coups,1959,4.4
Ukigusa,1959,4.2
Ballada o soldate,1959,4.2
Imitation of Life,1959,4.2
North by Northwest,1959,4.2
Nobi,1959,4.2
Hiroshima mon amour,1959,4.2
Some Like It Hot,1959,4.1
Some Like It Hot,1959,4.1
Pickpocket,1959,4.1
Nazarín,1959,4.1
Rio Bravo,1959,4.0
Orfeu Negro,1959,4.0
Anatomy of a Murder,1959,4.0
Ohayô,1959,4.0
Pillow Talk,1959,3.8
Ben-Hur,1959,3.7
Ben-Hur,1959,3.7
The Diary of Anne Frank,1959,3.5
Darby O'Gill and the Little People,1959,3.5
House on Haunted Hill,1959,3.4
Sleeping Beauty,1959,3.4
À bout de souffle,1960,4.2
L'avventura,1960,4.2
Rocco e i suoi fratelli,1960,4.2
Jungfrukällan,1960,4.2
À bout de souffle,1960,4.2
The Apartment,1960,4.1
Warui yatsu hodo yoku nemuru,1960,4.1
Plein soleil,1960,4.0
Peeping Tom,1960,4.0
Les yeux sans visage,1960,4.0
Inherit the Wind,1960,4.0
Psycho,1960,3.9
Psycho,1960,3.9
La maschera del demonio,1960,3.8
Elmer Gantry,1960,3.8
Spartacus,1960,3.7
Exodus,1960,3.6
From the Terrace,1960,3.6
House of Usher,1960,3.5
Swiss Family Robinson,1960,3.3
Pollyanna,1960,3.3
Yôjinbô,1961,4.4
Viridiana,1961,4.2
L'année dernière à Marienbad,1961,4.2
La notte,1961,4.2
Såsom i en spegel,1961,4.2
Accattone,1961,4.1
A Taste of Honey,1961,4.0
Divorzio all'italiana,1961,4.0
"One, Two, Three",1961,4.0
Une femme est une femme,1961,4.0
The Innocents,1961,4.0
Judgment at Nuremberg,1961,4.0
Katok i skripka,1961,3.9
The Hustler,1961,3.9
Blast of Silence,1961,3.9
Breakfast at Tiffany's,1961,3.9
A Raisin in the Sun,1961,3.8
King of Kings,1961,3.7
El Cid,1961,3.6
West Side Story,1961,3.5
One Hundred and One Dalmatians,1961,3.3
One Hundred and One Dalmatians,1961,3.3
The Deadly Companions,1961,3.2
The AbsentMinded Professor,1961,3.2
Seppuku,1962,4.5
La jetée,1962,4.4
El ángel exterminador,1962,4.3
Vivre sa vie: Film en douze tableaux,1962,4.3
Tsubaki Sanjûrô,1962,4.2
Ivanovo detstvo,1962,4.2
Jules et Jim,1962,4.2
Sanma no aji,1962,4.2
L'eclisse,1962,4.2
Lawrence of Arabia,1962,4.1
Cléo de 5 à 7,1962,4.0
The Man Who Shot Liberty Valance,1962,4.0
Le procès,1962,4.0
The Manchurian Candidate,1962,3.9
The Manchurian Candidate,1962,3.9
Advise & Consent,1962,3.9
Nóz w wodzie,1962,3.9
What Ever Happened to Baby Jane?,1962,3.9
Long Day's Journey Into Night,1962,3.9
What Ever Happened to Baby Jane?,1962,3.9
The Manchurian Candidate,1962,3.9
To Kill a Mockingbird,1962,3.8
Hatari!,1962,3.7
The Miracle Worker,1962,3.7
Lolita,1962,3.7
Lolita,1962,3.7
Sweet Bird of Youth,1962,3.7
Carnival of Souls,1962,3.5
Dr. No,1962,3.5
Kingu Kongu tai Gojira,1962,3.1
The Day of the Triffids,1962,3.0
Le feu follet,1963,4.3
Nattvardsgästerna,1963,4.3
8½,1963,4.3
Tengoku to jigoku,1963,4.3
Yukinojô henge,1963,4.2
Il gattopardo,1963,4.2
The Servant,1963,4.1
Le mépris,1963,4.1
Charade,1963,4.1
Tystnaden,1963,4.1
Billy Liar,1963,4.0
Hud,1963,3.9
Le petit soldat,1963,3.7
Irma la Douce,1963,3.7
From Russia with Love,1963,3.6
It's a Mad Mad Mad Mad World,1963,3.6
The Birds,1963,3.5
The Birds,1963,3.5
Cleopatra,1963,3.4
The Cardinal,1963,3.4
X,1963,3.3
Tom Jones,1963,3.3
The Sword in the Stone,1963,3.3
Dementia 13,1963,3.0
Tini zabutykh predkiv,1964,4.4
Suna no onna,1964,4.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,4.2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,4.2
Soy Cuba,1964,4.2
Soy Cuba,1964,4.2
Bande à part,1964,4.2
Il deserto rosso,1964,4.1
Les parapluies de Cherbourg,1964,4.1
Il vangelo secondo Matteo,1964,4.1
Onibaba,1964,4.1
Becket,1964,4.1
Kaidan,1964,4.1
La peau douce,1964,3.9
Seven Days in May,1964,3.9
A Hard Day's Night,1964,3.9
The Night of the Iguana,1964,3.9
Per un pugno di dollari,1964,3.8
Gertrud,1964,3.8
Le journal d'une femme de chambre,1964,3.8
Zulu,1964,3.8
My Fair Lady,1964,3.7
What a Way to Go!,1964,3.7
The Last Man on Earth,1964,3.6
Goldfinger,1964,3.6
The Last Man on Earth,1964,3.6
Goldfinger,1964,3.6
Man's Favorite Sport?,1964,3.5
Mary Poppins,1964,3.5
"Kiss Me, Stupid",1964,3.4
Behold a Pale Horse,1964,3.4
Viva Las Vegas,1964,3.4
Campanadas a medianoche,1965,4.3
Akahige,1965,4.3
Rekopis znaleziony w Saragossie,1965,4.2
Pierrot le fou,1965,4.2
Giulietta degli spiriti,1965,4.0
Repulsion,1965,4.0
"Alphaville, une étrange aventure de Lemmy Caution",1965,3.9
Per qualche dollaro in più,1965,3.9
The Great Race,1965,3.8
Doctor Zhivago,1965,3.8
The Ipcress File,1965,3.8
Help!,1965,3.8
"Faster, Pussycat! Kill! Kill!",1965,3.8
Bunny Lake Is Missing,1965,3.7
Ship of Fools,1965,3.6
The Cincinnati Kid,1965,3.6
The Sound of Music,1965,3.6
The Greatest Story Ever Told,1965,3.5
Thunderball,1965,3.4
It Happened Here,1965,3.4
What's New Pussycat,1965,3.3
Major Dundee,1965,3.3
Lord Jim,1965,3.3
Andrey Rublyov,1966,4.5
La battaglia di Algeri,1966,4.4
Persona,1966,4.4
La battaglia di Algeri,1966,4.4
Au hasard Balthazar,1966,4.2
Who's Afraid of Virginia Woolf?,1966,4.1
The Endless Summer,1966,4.1
Tanin no kao,1966,4.1
Uccellacci e uccellini,1966,4.1
Ostre sledované vlaky,1966,4.0
Blowup,1966,4.0
"Il buono, il brutto, il cattivo.",1966,4.0
Un homme et une femme,1966,4.0
Le roi de coeur,1966,4.0
A Man for All Seasons,1966,4.0
La guerre est finie,1966,3.8
The Naked Prey,1966,3.8
This Property Is Condemned,1966,3.8
Cul-de-sac,1966,3.8
The Fortune Cookie,1966,3.6
Harper,1966,3.6
The Russians Are Coming the Russians Are Coming,1966,3.5
Fahrenheit 451,1966,3.5
You're a Big Boy Now,1966,3.3
Fantastic Voyage,1966,3.3
Torn Curtain,1966,3.3
Dracula: Prince of Darkness,1966,3.3
Batman,1966,3.0
Batman,1966,3.0
Play Time,1967,4.3
Dont Look Back,1967,4.2
Titicut Follies,1967,4.2
Mouchette,1967,4.2
Cool Hand Luke,1967,4.1
Cool Hand Luke,1967,4.1
Jôi-uchi: Hairyô tsuma shimatsu,1967,4.1
Belle de jour,1967,4.0
"Horí, má panenko",1967,3.9
In the Heat of the Night,1967,3.9
Les demoiselles de Rochefort,1967,3.9
La collectionneuse,1967,3.9
2 ou 3 choses que je sais d'elle,1967,3.8
In Cold Blood,1967,3.8
The Flim-Flam Man,1967,3.8
The Happiest Millionaire,1967,3.8
In Cold Blood,1967,3.8
Dance of the Vampires,1967,3.8
"To Sir, with Love",1967,3.8
The Dirty Dozen,1967,3.8
Quatermass and the Pit,1967,3.7
The Graduate,1967,3.7
Guess Who's Coming to Dinner,1967,3.7
Barefoot in the Park,1967,3.7
Bonnie and Clyde,1967,3.7
The President's Analyst,1967,3.6
Jag är nyfiken - en film i gult,1967,3.6
The Jungle Book,1967,3.5
The Jungle Book,1967,3.5
The Jungle Book,1967,3.5
You Only Live Twice,1967,3.4
I Call First,1967,3.4
The Gnome-Mobile,1967,3.4
In Like Flint,1967,3.3
How I Won the War,1967,3.3
Divorce American Style,1967,3.2
Rough Night in Jericho,1967,3.1
Billion Dollar Brain,1967,3.1
Hells Angels on Wheels,1967,3.0
C'era una volta il West,1968,4.3
The Lion in Winter,1968,4.1
If....,1968,4.1
Monterey Pop,1968,4.1
Skammen,1968,4.0
Teorema,1968,4.0
The Killing of Sister George,1968,4.0
Baisers volés,1968,4.0
Vargtimmen,1968,3.9
The Swimmer,1968,3.8
Where Eagles Dare,1968,3.8
Bullitt,1968,3.8
2001: A Space Odyssey,1968,3.7
Funny Girl,1968,3.7
La mariée était en noir,1968,3.7
Targets,1968,3.7
The Devil Rides Out,1968,3.7
Night of the Living Dead,1968,3.7
Night of the Living Dead,1968,3.7
Hellfighters,1968,3.6
Yellow Submarine,1968,3.6
Wild in the Streets,1968,3.6
Lebenszeichen,1968,3.6
Hang 'Em High,1968,3.5
The Devil's Brigade,1968,3.5
Witchfinder General,1968,3.5
The Boston Strangler,1968,3.5
Histoires extraordinaires,1968,3.5
Planet of the Apes,1968,3.4
Planet of the Apes,1968,3.4
Oliver!,1968,3.4
Planet of the Apes,1968,3.4
The Night of the Following Day,1968,3.3
5 Card Stud,1968,3.3
Blackbeard's Ghost,1968,3.3
Finian's Rainbow,1968,3.3
Ice Station Zebra,1968,3.2
Chitty Chitty Bang Bang,1968,3.2
Coogan's Bluff,1968,3.2
Lo sbarco di Anzio,1968,3.1
The Love Bug,1968,3.1
Barbarella,1968,3.0
Mayerling,1968,3.0
Shalako,1968,2.9
L'armée des ombres,1969,4.4
Ma nuit chez Maud,1969,4.1
La voie lactée,1969,4.0
En passion,1969,4.0
La caduta degli dei,1969,4.0
The Wild Bunch,1969,4.0
Butch Cassidy and the Sundance Kid,1969,3.9
Midnight Cowboy,1969,3.9
Midnight Cowboy,1969,3.9
Midnight Cowboy,1969,3.9
"They Shoot Horses, Don't They?",1969,3.9
Battle of Britain,1969,3.8
True Grit,1969,3.8
The Prime of Miss Jean Brodie,1969,3.8
Medium Cool,1969,3.7
Easy Rider,1969,3.7
More,1969,3.7
Que la bête meure,1969,3.7
Fellini - Satyricon,1969,3.7
Cactus Flower,1969,3.6
The Undefeated,1969,3.6
Support Your Local Sheriff!,1969,3.6
The Honeymoon Killers,1969,3.5
The Assassination Bureau,1969,3.5
Paint Your Wagon,1969,3.4
Bob & Carol & Ted & Alice,1969,3.4
Alice's Restaurant,1969,3.4
Downhill Racer,1969,3.3
100 Rifles,1969,3.3
My Side of the Mountain,1969,3.2
On Her Majesty's Secret Service,1969,3.2
Topaz,1969,3.0
Marooned,1969,3.0
Castle Keep,1969,3.0
Gojira-Minira-Gabara: Oru kaijû daishingeki,1969,2.7
Indagine su un cittadino al di sopra di ogni sospetto,1970,4.4
Indagine su un cittadino al di sopra di ogni sospetto,1970,4.4
Il conformista,1970,4.3
Le cercle rouge,1970,4.2
El topo,1970,4.1
Woodstock,1970,4.1
Patton,1970,4.0
Gimme Shelter,1970,4.0
Five Easy Pieces,1970,3.9
Performance,1970,3.9
Ryan's Daughter,1970,3.9
Five Easy Pieces,1970,3.9
Five Easy Pieces,1970,3.9
Il giardino dei Finzi Contini,1970,3.9
Le boucher,1970,3.9
Le genou de Claire,1970,3.9
The Great White Hope,1970,3.8
Auch Zwerge haben klein angefangen,1970,3.8
Little Big Man,1970,3.8
Lo chiamavano Trinità...,1970,3.7
L'enfant sauvage,1970,3.7
MASH,1970,3.7
L'uccello dalle piume di cristallo,1970,3.7
Rio Lobo,1970,3.7
Catch-22,1970,3.6
Tora! Tora! Tora!,1970,3.6
The Ballad of Cable Hogue,1970,3.6
The Private Life of Sherlock Holmes,1970,3.5
Two Mules for Sister Sara,1970,3.5
Love Story,1970,3.5
Lovers and Other Strangers,1970,3.4
Too Late the Hero,1970,3.4
The Molly Maguires,1970,3.4
Cromwell,1970,3.4
The Vampire Lovers,1970,3.4
Scrooge,1970,3.4
The AristoCats,1970,3.3
Where's Poppa?,1970,3.3
Airport,1970,3.1
Beneath the Planet of the Apes,1970,3.0
Myra Breckinridge,1970,2.8
On Any Sunday,1971,4.4
Harold and Maude,1971,4.2
Johnny Got His Gun,1971,4.1
Le souffle au coeur,1971,4.0
Sacco e Vanzetti,1971,4.0
The Last Picture Show,1971,4.0
Morte a Venezia,1971,4.0
McCabe & Mrs. Miller,1971,4.0
Two-Lane Blacktop,1971,3.9
10 Rillington Place,1971,3.9
Walkabout,1971,3.9
Vanishing Point,1971,3.9
Dirty Harry,1971,3.8
Fiddler on the Roof,1971,3.8
Giù la testa,1971,3.8
Straw Dogs,1971,3.8
The French Connection,1971,3.8
And Now for Something Completely Different,1971,3.8
Little Murders,1971,3.7
Klute,1971,3.7
The Panic in Needle Park,1971,3.6
Bananas,1971,3.6
Duel,1971,3.6
THX 1138,1971,3.6
Summer of '42,1971,3.6
Carnal Knowledge,1971,3.5
Play Misty for Me,1971,3.5
The Hired Hand,1971,3.4
Kotch,1971,3.4
Murphy's War,1971,3.4
Billy Jack,1971,3.4
Diamonds Are Forever,1971,3.4
Shaft,1971,3.3
Shaft,1971,3.3
The Omega Man,1971,3.3
The Tragedy of Macbeth,1971,3.3
Bedknobs and Broomsticks,1971,3.3
The Trojan Women,1971,3.1
The Night Visitor,1971,3.0
Escape from the Planet of the Apes,1971,3.0
Vampiros lesbos,1971,3.0
The Godfather,1972,4.4
The Godfather,1972,4.4
Viskningar och rop,1972,4.3
"Aguirre, der Zorn Gottes",1972,4.2
Le charme discret de la bourgeoisie,1972,4.2
Solyaris,1972,4.1
Solyaris,1972,4.1
"What's Up, Doc?",1972,3.9
Fat City,1972,3.9
Marjoe,1972,3.9
Lady Sings the Blues,1972,3.9
